Código do município,Município,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
315480,RIO ACIMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,11
315490,RIO CASCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,-,-,-,54
315500,RIO DOCE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
315510,RIO DO PRADO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,39
315530,RIO MANSO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,27
315540,RIO NOVO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,24
315550,RIO PARANAIBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,36
315560,RIO PARDO DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,7
315570,RIO PIRACICABA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
315580,RIO POMBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,-,-,-,-,-,-,-,-,-,-,152
315590,RIO PRETO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
315600,RIO VERMELHO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
315610,RITAPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
315620,ROCHEDO DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,3
315630,RODEIRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244,-,-,-,-,-,-,-,-,-,-,244
315640,ROMARIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
315650,RUBELITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,24
315660,RUBIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,-,-,-,-,-,-,-,-,-,-,161
315670,SABARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,439,-,-,-,-,-,-,-,-,-,-,439
315680,SABINOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,14
315690,SACRAMENTO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,-,-,-,-,-,-,-,-,-,-,83
315700,SALINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,604,-,-,-,-,-,-,-,-,-,-,604
315710,SALTO DA DIVISA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
315720,SANTA BARBARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,24
315725,SANTA BARBARA DO LESTE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,32
315733,SANTA CRUZ DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,37
315737,SANTA CRUZ DE SALINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,16
315740,SANTA CRUZ DO ESCALVADO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
315750,SANTA EFIGENIA DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
315760,SANTA FE DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,28
315765,SANTA HELENA DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,7
315770,SANTA JULIANA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,-,73
315780,SANTA LUZIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,788,-,-,-,-,-,-,-,-,-,-,788
315790,SANTA MARGARIDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,29
315800,SANTA MARIA DE ITABIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,35
315820,SANTA MARIA DO SUACUI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,36
315830,SANTANA DA VARGEM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,14
315850,SANTANA DE PIRAPAMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,30
315860,SANTANA DO DESERTO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,12
315880,SANTANA DO JACARE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,-,-,-,-,77
315890,SANTANA DO MANHUACU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,11
315895,SANTANA DO PARAISO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131,-,-,-,-,-,-,-,-,-,-,131
315900,SANTANA DO RIACHO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,13
315935,SANTA RITA DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,6
315960,SANTA RITA DO SAPUCAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,6
315980,SANTA VITORIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,-,-,-,-,-,-,-,-,-,-,106
315990,SANTO ANTONIO DO AMPARO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
316010,SANTO ANTONIO DO GRAMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,-,-,-,-,-,-,-,-,-,-,110
316020,SANTO ANTONIO DO ITAMBE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316030,SANTO ANTONIO DO JACINTO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,4
316040,SANTO ANTONIO DO MONTE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,583,-,-,-,-,-,-,-,-,-,-,583
316095,SAO DOMINGOS DAS DORES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316100,SAO DOMINGOS DO PRATA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,26
316105,SAO FELIX DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316110,SAO FRANCISCO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,51
316130,SAO FRANCISCO DE SALES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,7
316140,SAO FRANCISCO DO GLORIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316150,SAO GERALDO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,12
316160,SAO GERALDO DA PIEDADE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,95
316165,SAO GERALDO DO BAIXIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,39
316170,SAO GONCALO DO ABAETE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,17
316180,SAO GONCALO DO PARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,15
316190,SAO GONCALO DO RIO ABAIXO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,38
316200,SAO GONCALO DO SAPUCAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,37
316210,SAO GOTARDO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,-,-,-,-,-,-,-,-,-,-,107
316220,SAO JOAO BATISTA DO GLORIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,-,57
316240,SAO JOAO DA PONTE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,31
316245,SAO JOAO DAS MISSOES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316250,SAO JOAO DEL REI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,-,-,-,-,-,-,-,-,-,-,76
316257,SAO JOAO DO MANTENINHA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-,-,-,71
316260,SAO JOAO DO ORIENTE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,23
316265,SAO JOAO DO PACUI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,8
316270,SAO JOAO DO PARAISO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,3
316280,SAO JOAO EVANGELISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
316290,SAO JOAO NEPOMUCENO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,50
316292,SAO JOAQUIM DE BICAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,75
316294,SAO JOSE DA BARRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
316295,SAO JOSE DA LAPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181,-,-,-,-,-,-,-,-,-,-,181
316300,SAO JOSE DA SAFIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,62
316310,SAO JOSE DA VARGINHA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201,-,-,-,-,-,-,-,-,-,-,201
316320,SAO JOSE DO ALEGRE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316330,SAO JOSE DO DIVINO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,30
316340,SAO JOSE DO GOIABAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,-,-,-,-,-,-,-,-,-,-,144
316350,SAO JOSE DO JACURI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
316360,SAO JOSE DO MANTIMENTO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,8
316370,SAO LOURENCO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,-,-,-,-,-,-,-,-,-,-,146
316390,SAO PEDRO DA UNIAO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316400,SAO PEDRO DOS FERROS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283,-,-,-,-,-,-,-,-,-,-,283
316420,SAO ROMAO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316450,SAO SEBASTIAO DO MARANHAO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316460,SAO SEBASTIAO DO OESTE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,95
316470,SAO SEBASTIAO DO PARAISO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,-,-,-,-,-,-,-,-,-,-,234
316490,SAO SEBASTIAO DO RIO VERDE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316500,SAO TIAGO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,13
316510,SAO TOMAS DE AQUINO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,25
316530,SAO VICENTE DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316540,SAPUCAI-MIRIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316550,SARDOA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,3
316553,SARZEDO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,31
316555,SETUBINHA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,21
316556,SEM-PEIXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316570,SENADOR FIRMINO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,17
316590,SENADOR MODESTINO GONCALVES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,31
316630,SERICITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316670,SERRA DOS AIMORES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,53
316680,SERRA DO SALITRE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,40
316690,SERRANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,3
316695,SERRANOPOLIS DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316710,SERRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,44
316720,SETE LAGOAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1267,-,-,-,-,-,-,-,-,-,-,1267
316730,SILVEIRANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,9
316760,SIMONESIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
316770,SOBRALIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316780,SOLEDADE DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,19
316790,TABULEIRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,8
316800,TAIOBEIRAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,-,-,-,-,43
316805,TAPARUBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,-,-,-,64
316820,TAPIRAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316830,TAQUARACU DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,6
316840,TARUMIRIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,38
316850,TEIXEIRAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2
316860,TEOFILO OTONI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1867,-,-,-,-,-,-,-,-,-,-,1867
316870,TIMOTEO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586,-,-,-,-,-,-,-,-,-,-,586
316880,TIRADENTES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,4
316890,TIROS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,-,-,-,-,-,-,-,-,-,-,159
316900,TOCANTINS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1150,-,-,-,-,-,-,-,-,-,-,1150
316930,TRES CORACOES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,65
316935,TRES MARIAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,-,-,-,-,-,-,-,-,-,-,93
316940,TRES PONTAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,17
316950,TUMIRITINGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,-,-,-,-,-,-,-,-,-,-,148
316960,TUPACIGUARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,24
316970,TURMALINA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,-,-,-,-,-,-,-,-,-,-,166
316980,TURVOLANDIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
316990,UBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1517,-,-,-,-,-,-,-,-,-,-,1517
317000,UBAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,10
317005,UBAPORANGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151,-,-,-,-,-,-,-,-,-,-,151
317010,UBERABA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1467,-,-,-,-,-,-,-,-,-,-,1467
317020,UBERLANDIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,-,-,-,-,-,-,-,-,-,-,2009
317030,UMBURATIBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,12
317040,UNAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2033,-,-,-,-,-,-,-,-,-,-,2033
317043,UNIAO DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,36
317047,URUANA DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,9
317052,URUCUIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,29
317057,VARGEM ALEGRE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,-,-,-,-,-,-,-,-,-,-,110
317065,VARGEM GRANDE DO RIO PARDO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
317070,VARGINHA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,-,-,-,-,-,-,-,-,-,-,93
317075,VARJAO DE MINAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,44
317080,VARZEA DA PALMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,-,-,-,-,-,-,-,-,-,-,161
317090,VARZELANDIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,5
317100,VAZANTE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,-,-,-,-,-,-,-,-,-,-,96
317103,VERDELANDIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
317110,VERISSIMO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,16
317120,VESPASIANO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,20
317130,VICOSA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,24
317150,MATHIAS LOBATO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,10
317160,VIRGEM DA LAPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,-,-,-,-,-,-,-,-,-,-,130
317170,VIRGINIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,7
317180,VIRGINOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,4
317190,VIRGOLANDIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-,55
317200,VISCONDE DO RIO BRANCO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,-,-,-,-,-,-,-,-,-,-,166
320020,ALEGRE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,8
320040,ANCHIETA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
320090,BARRA DE SAO FRANCISCO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2
320120,CACHOEIRO DE ITAPEMIRIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,7
320130,CARIACICA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,4
320150,COLATINA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,9
320220,FUNDAO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2
320240,GUARAPARI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,16
320280,ITAPEMIRIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,6
320320,LINHARES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,61
320405,PEDRO CANARIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2
320470,SAO GABRIEL DA PALHA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
320500,SERRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-,-,71
320515,VILA PAVAO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2
320530,VITORIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7370,-,-,-,-,-,-,-,-,-,7370
330010,ANGRA DOS REIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155,-,-,-,-,-,-,-,-,155
330015,APERIBE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,62
330020,ARARUAMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,24
330022,AREAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,4
330023,ARMACAO DOS BUZIOS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
330025,ARRAIAL DO CABO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3
330030,BARRA DO PIRAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,17
330040,BARRA MANSA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,29
330045,BELFORD ROXO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,35
330060,BOM JESUS DO ITABAPOANA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,21
330070,CABO FRIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,-,-,77
330080,CACHOEIRAS DE MACACU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3
330090,CAMBUCI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3
330093,CARAPEBUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
330100,CAMPOS DOS GOYTACAZES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,8
330110,CANTAGALO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
330115,CARDOSO MOREIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,13
330120,CARMO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2
330130,CASIMIRO DE ABREU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,22
330140,CONCEICAO DE MACABU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,6
330150,CORDEIRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,6
