Código do município,Município,UF,Código da região,Código do prestador de serviços,Nome do prestador de serviços,Sigla,Abrangência,,,IN003,IN026,IN027,IN004,IN005,IN006,IN012,IN029,IN007,IN008,IN030,IN031,IN032,IN033,IN034,IN035,IN036,IN037,IN038,IN039,IN040,IN041,IN042,IN054,IN018,IN019,IN102,IN048,IN002,IN045,IN101,IN060,IN055,IN023,IN001,IN043,IN011,IN009,IN010,IN044,IN057,IN052,IN025,IN053,IN014,IN017,IN022,IN058,IN020,IN028,IN013,IN049,IN050,IN051,IN056,IN024,IN047,IN015,IN016,IN046,IN021,IN059,IN071,IN072,IN073,IN074,IN077,IN082,IN083,IN079,IN075,IN080,IN076,IN085,IN084,IN061,IN062,IN063,IN064,IN068,IN065,IN069,IN066,IN067
220090,Aroazes,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.35,4.28,636.21,3.8,3.8,,59.9,-5.26,50.02,317663.22,112.53,64.02,83.51,0,3.68,56.89,74.21,19.17,0,3.27,96.62,,3.38,155.85,1.96,672.81,667.45,1.15,877.67,1.15,66.49,0.91,79.7,97.89,01.01,97.04,0,87.4,45.59,80.35,0,56.75,18.23,10.34,9.5,12.38,99,0.61,13.91,67.94,32.06,43.25,14.16,261.3,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,
220100,Arraial,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,9.32,07.06,1072.02,3.99,3.99,,42.81,-4.41,66.3,504521.42,177.09,136.41,154.88,0,3.15,77.03,87.46,8.61,0,1.78,96.02,,3.98,89.25,1.14,538.14,535.05,1.65,611,1.65,48.42,1.22,54.05,87.39,01.01,93.86,0,99.34,72.04,96.3,0,74.81,13.69,10.24,9.93,12.65,82.22,0.46,13.91,92.38,7.62,25.19,5.33,114.05,,,,,,,,,,,,,,,,8.33,0,8.33,0,8.33,0,,,,,,,,,
220110,Avelino Lopes,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,7.88,5.63,792.39,3.77,3.77,,47.77,-2.18,53.93,496761.34,149.41,90.02,112.88,0,4,60.25,75.55,9.5,9.74,2.68,96.45,,3.55,255.09,3.14,829.79,816.23,0.98,1040.6,0.98,51.11,0.64,78.25,98.49,01.02,95.08,0,30.81,12.16,17.21,0,70.69,16.12,10.94,06.03,11.74,107.72,0.61,9.85,75.86,24.14,29.31,10.85,151.57,,,,,,,,,,,,,,,,5,0,5,0,5,0,,,,,,,,,
220115,Baixa Grande do Ribeiro,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.39,4.19,685.67,2.17,2.17,,34.01,-101.52,51.03,352558.55,192.95,132.81,150.04,0,6.66,68.83,77.76,15.06,0,3.45,91.99,,08.01,446.57,2.26,661.24,657.48,1.35,747,1.35,75.47,0.7,59.78,83.43,01.01,95.55,0,63.99,31.27,61.07,0,51.21,24.08,12.33,11.76,13.63,89.47,0.51,7.95,56.58,43.42,48.79,27.23,388.54,,,,,,,,,,,,,,,,8.33,0,8.33,0,8.33,0,,,,,,,,,
220120,Barras,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.7,4.54,748.42,04.04,04.04,,60.29,-10.96,49.42,488838.18,112.34,68.05,81.97,0,3.65,60.58,72.97,10.18,10.18,3.25,94.39,,5.61,122.53,6.63,895.09,885.89,0.94,1078.18,0.94,72.54,0.58,48.43,91.95,01.01,91.8,0,92.55,57.26,85.8,0,66.74,18.43,11.81,10.95,13.75,103.21,0.59,09.01,77.72,22.28,33.26,14.8,195.45,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,
220130,Barreiras do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.74,4.43,676.54,3.99,3.99,,59.16,-2.91,50.7,295287.63,111.13,74.45,85.69,0,3.59,66.99,77.11,15.97,0.19,3.23,93.92,,06.08,409.54,1.15,566.02,563.85,1.54,651.5,1.54,66.28,0.78,78.85,98.82,1,93.78,0,50.31,27.84,47.47,0,58.64,20.05,11.76,11.12,12.73,101.51,0.58,9.87,63.48,36.52,41.36,19.44,273.72,,,,,,,,,,,,,,,,16.67,0,16.67,0,16.67,0,,,,,,,,,
220140,Barro Duro,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,08.04,5.88,833.9,3.92,3.92,,48.77,-11.38,53.03,160594.38,149.92,88.61,108.75,0,3.52,59.11,72.54,21.65,0.94,2.35,96.43,,3.57,208.66,6.75,265.5,258.46,3.15,325.82,3.15,57.61,0.78,93.58,98.27,01.03,92.77,0,86.01,27.52,71.82,0,38.32,26.18,10.03,8.38,11.82,93.28,0.73,7,45.15,54.85,61.68,50.58,545.37,,,,,,,,,,,,,,,,15,0,15,22.22,15,0,,,,,,,,,
220150,Batalha,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.42,3.36,514.66,3.98,3.98,,73.39,-4,41.28,1092686.27,84.41,45.14,56.25,0,8.62,53.48,66.64,18.58,0.04,10.21,88.84,,11.16,57.87,1.25,3186.19,3161.31,0.25,3970,0.25,87.67,0.81,49.79,98.67,01.01,93.7,0,95.29,36.96,90.61,0,40.8,26.17,10.68,10.15,12.76,106.39,0.38,08.07,48.76,51.24,59.2,45.66,513.48,,,,,,,,,,,,,,,,10,0,10,0,10,0,,,,,,,,,
220157,Belém do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,7.26,5.42,706.66,3.53,3.53,,48.67,-7.88,66.75,12326.27,153.36,68.36,137.15,0,03.04,44.58,89.43,6.13,0,1.98,95.87,,4.13,76.75,38.12,19.5,19.35,25.76,39.13,25.76,56.49,0.81,70.95,97.32,01.01,94.35,0,99.12,64.74,96.92,0,66.79,11.28,7.53,7.36,10.87,74.81,0.39,13.91,96.36,3.64,33.21,06.08,124.11,,,,,,,,,,,,,,,,43.33,0,43.33,0,43.33,0,,,,,,,,,
220160,Beneditinos,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,4.64,2.74,383.97,3.69,3.69,,79.6,-2.78,42.21,421984.38,74.09,40.91,53.03,0,3.3,55.21,71.57,17.36,1.56,4.45,97.24,,2.76,71.41,1.3,1535.51,1530.88,0.5,1990.5,0.5,85.61,01.01,64.66,98.31,1,95.53,0,98.77,69.75,96.02,0,72.64,12.56,9.12,8.87,11.69,88.73,0.44,7.15,93.1,6.9,27.36,10.86,113.33,,,,,,,,,,,,,,,,46.67,3.57,46.67,0,46.67,0,,,,,,,,,
220170,Bertolínia,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.79,3.67,625.2,4.4,4.4,,75.95,-3.77,44.8,193437.37,83.38,45.23,58.99,0,3.17,54.24,70.75,20.89,0,3.8,95.85,,4.15,190.48,3.26,437.3,433.32,1.77,570.4,1.77,83.74,0.6,96.39,99.01,01.01,93.55,0,97.91,33.79,95.16,0,35.51,34.56,12.27,11.93,14.2,112.61,0.53,11.87,41.08,58.92,64.49,41.17,739.57,,,,,,,,,,,,,,,,15,0,15,0,15,33.33,,,,,,,,,
220180,Bocaina,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,5.16,3.4,470.27,3.22,3.4,2.27,62.4,-14.38,47.61,,105.65,45.5,76.3,0,3.52,43.07,72.23,20.76,0,3.34,84.08,10.86,05.05,27.85,,1219.42,1218.23,,,,76.39,0.88,55.6,97,1,95.35,0,77.18,32.51,60.56,0,53.69,18.54,9.95,7.81,11.62,111.78,0.59,10.58,62.7,37.3,46.31,24.02,282.6,11.25,28.17,28.17,18.51,100,18.51,9.92,0.14,,,,,,,,26.67,0,26.67,0,26.67,6.25,,,,,,,,,
220190,Bom Jesus,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,8.18,6.1,984.58,4.43,4.43,,54.11,-1.51,55.71,460459.45,137.84,67.89,102.95,0,9.66,49.25,74.69,14.54,0.88,07.01,95.2,,4.8,233.97,12.89,626.14,601.28,1.1,949.53,1.1,58.17,0.76,96.11,98.35,01.04,89.43,0,73.63,29.06,64.65,0,44.95,25.75,11.58,10.16,13.45,130.29,0.61,7.25,52.21,47.79,55.05,48.68,485.42,,,,,,,,,,,,,,,,16.67,0,16.67,0,16.67,0,,,,,,,,,
220192,Bonfim do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,7.14,5.34,744.38,1.6,1.6,,22.43,-77.84,51.89,,333.71,95.01,231.34,0,6.99,28.47,69.32,25.76,0,02.09,68.76,,31.24,820.71,,319.11,319.11,,,,58.92,0.81,25.79,73.61,1,95.75,18.02,95.75,60.48,91.93,0,65.79,13.26,8.37,08.04,11.61,73.01,1.48,7.83,91.2,8.8,34.21,8.56,143.16,,,,,,,,,,,,,,,,11.67,0,11.67,0,11.67,0,,,,,,,,,
220196,Brasileira,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,07.02,4.99,690.68,3.61,3.61,,51.49,0.27,61.69,286527.12,138.13,84.65,119.82,0,4.87,61.28,86.74,6.92,0.05,3.52,95.51,,4.49,84.86,3.54,478.27,473.47,1.49,677,1.49,55.25,0.74,69.79,98.05,01.01,94.51,0,94.9,56.72,85.37,0,66.44,13.64,09.07,8.16,11.53,87.99,0.4,11.25,84.5,15.5,33.56,10.66,152.05,,,,,,,,,,,,,,,,31.67,0,31.67,0,31.67,0,,,,,,,,,
220198,Brejo do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.33,3.32,458.11,3.67,3.67,,68.83,-10.18,48.67,,90.61,42.16,70.71,0,3.47,46.53,78.04,14,0,3.83,97.07,,2.93,235.29,,,,,,,80.27,0.82,55.56,95.44,01.02,93.59,0,90.44,38.19,90.53,0,42.18,21.71,9.16,9.19,11.5,92.96,0.3,8.28,52.95,47.05,57.82,36.86,421.87,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,
220200,Buriti dos Lopes,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.58,4.24,572.19,4.33,4.33,,65.8,-1.91,46.42,441811.26,97.88,53.94,70.55,0,3.69,55.11,72.07,20.2,0.05,3.77,95.13,,4.87,45.53,3.92,1071.3,1065.69,0.72,1401.17,0.72,71.36,1.32,79.94,98.48,01.01,95.75,0,92.9,37.97,82.39,0,46.09,24.61,10.89,9.66,11.25,99.36,0.3,8.11,47.61,52.39,53.91,44.56,420.93,,,,,,,,,,,,,,,,11.67,0,11.67,0,11.67,4.76,,,,,,,,,
220205,Cabeceiras do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,13.73,11.66,1709.76,04.09,04.09,,29.82,-1.7,63.97,158642.59,284.77,196.16,214.53,0,3.3,68.88,75.34,22.08,0.1,1.16,96.64,,3.36,89.05,5.47,123.16,120.51,7.59,134.7,7.59,31.71,0.71,23.56,98.31,01.02,88.49,81.16,90.97,27.97,81.84,0,34.18,29.49,10.08,09.06,12.22,93.13,1.5,10.42,41.44,58.56,65.82,39.21,652.09,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,
220210,Campinas do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,7.1,4.92,719.73,3.68,3.68,,51.82,-10.62,51.87,155506.78,133.8,77.97,100.1,0,3.57,58.28,74.81,19.71,0,2.67,96.92,,03.08,83.06,2.57,288.81,288.81,2.7,370.75,2.7,61.53,0.78,46.55,98.14,1,94.54,0,96.29,48.16,89.72,0,53.68,18.46,9.91,9.24,12.18,97.14,0.82,9.87,65.96,34.04,46.32,21.41,281.18,,,,,,,,,,,,,,,,11.5,4.35,11.5,4.35,11.5,0,,,,,,,,,
220213,Campo Grande do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,4.47,2.63,333.02,3.73,3.73,,83.45,-9.2,52.84,,70.41,47.16,63.32,0,3.12,66.98,89.93,0.27,0,4.43,96.41,,3.59,186.55,,1030.72,1022.53,,,,96.42,2.22,36.98,97.61,01.01,92.7,0,97.82,57.71,81.28,0,71,11.64,7.94,6.59,10.56,86.84,0,9.97,94.51,5.49,29,6.71,107.43,,,,,,,,,,,,,,,,20,16.67,20,0,20,8.33,,,,,,,,,
220225,Canavieira,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,8.85,6.6,1023.96,3.87,3.87,,43.71,-14.4,62.27,301232.99,170.59,126.62,142.47,0,3.54,74.23,83.52,12.13,0,02.08,90.88,,9.12,373.27,1.69,352.25,351.06,2.53,396.33,2.53,56.2,0.84,55.5,98.34,1,95.46,0,79.07,33.11,72,0,45.99,24.84,11.42,10.4,12.93,102.98,0.49,9.46,52.07,47.93,54.01,29.17,442.56,,,,,,,,,,,,,,,,5,0,5,0,5,0,,,,,,,,,
220230,Canto do Buriti,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.64,3.6,571.32,4.38,4.38,,77.67,-5.37,49.4,622077.73,82.1,55.08,63.6,0,3.42,67.1,77.47,13.69,0.02,4.16,95.65,,4.35,99.8,3.46,1405.58,1383.06,0.63,1622.83,0.63,86.53,0.69,75.29,98.8,01.02,90.86,0,84.06,41.07,63.94,0,64.23,17.47,11.22,8.53,13.23,119.19,0.54,5.5,75.72,24.28,35.77,26.75,208.79,,,,,,,,,,,,,,,,11.67,71.43,11.67,0,11.67,14.29,,,,,,,,,
220240,Capitão de Campos,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,7.62,5.55,862.39,4.14,4.14,,54.38,8.32,60.08,446522.14,134.08,99.96,110.48,0,3.16,74.55,82.4,12.42,0.05,2.36,97.63,,2.37,491.12,2.21,628.35,622.24,1.45,694.5,1.45,51.69,0.82,46.5,70.85,01.01,94.17,0,95.49,34.48,83.51,0,41.29,26.44,10.92,9.56,12.94,92.99,0.41,13.04,48.95,51.05,58.71,23.79,515.34,,,,,,,,,,,,,,,,8.33,0,8.33,0,8.33,0,,,,,,,,,
220250,Caracol,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,9.71,7.6,999.57,3.4,3.4,,35.01,3.45,61.07,309264.53,223.51,135.33,174.45,0,04.01,60.55,78.05,18.47,0,1.8,96.57,,3.43,529.27,1.93,396.41,388.4,2,511,2,35.84,0.98,28.12,60.25,01.02,93.15,0,71.37,17.59,32.41,0,54.27,16.3,8.85,04.02,10.97,73.1,0.96,12.96,67.26,32.74,45.73,7.71,250.19,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,
220255,Caridade do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,11.97,10.17,1331.81,3.85,3.85,,32.12,6.95,37.63,41485.46,264.58,45.12,117.13,0,03.02,17.05,44.27,53.13,0,1.14,94.02,,5.98,381.95,7.79,70.36,70.36,5.47,182.67,5.47,32.22,0.63,44.76,98.62,1,93.07,0,96.17,44.61,86.58,0,51.52,15.47,7.65,6.89,10.91,64.93,06.07,5.56,73.48,26.52,48.48,15.45,236.63,,,,,,,,,,,,,,,,40,0,40,0,40,0,,,,,,,,,
220260,Castelo do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.59,3.57,523.55,3.88,3.88,,69.36,-7.81,47.47,547963.77,92.07,56.24,68.43,0,3.42,61.09,74.33,17.52,0.24,3.71,93.4,,6.6,100.77,03.04,1408.15,1384.81,0.59,1713.4,0.59,81.73,0.82,74.62,96.7,01.02,93.86,96.52,95.83,43.8,91.36,0,47.94,20.8,9.97,9.5,12.22,98.35,0.45,05.07,58.77,41.23,52.06,50.84,362.03,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,
220270,Cocal,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.98,3.97,573.16,3.87,3.87,,64.7,1.39,53.25,517174.96,102.56,71.65,82.3,0,3.29,69.87,80.25,12.84,0.04,3.2,97.06,,2.94,111.25,2.3,1124.39,1113.51,0.78,1291.5,0.78,67.04,0.94,34.49,72.94,01.01,94.46,0,97.73,45.29,91.16,0,49.68,20.46,9.76,9.11,12.05,88.87,0.32,8.13,61.32,38.68,50.32,24.02,328.15,,,,,,,,,,,,,,,,5,33.33,5,44.44,5,11.11,,,,,,,,,
220275,Colônia do Gurguéia,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.95,3.56,477.36,1.83,1.83,,30.75,-136.22,54.42,,194.79,163.78,176.97,0,8.42,84.08,90.85,0.21,0,4.32,91.64,,8.36,1020.77,,1510.28,1508.43,,,,80.12,0,44.05,53.04,1,94.18,0,48.83,20.64,39.57,0,52.17,21.27,11.09,9,11.16,105.22,1.12,10.16,52.49,47.51,47.83,14.37,334.82,,,,,,,,,,,,,,,,35,0,35,0,35,4.76,,,,,,,,,
220277,Colônia do Piauí,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,5.28,3.25,505.73,04.07,04.07,,77.15,-5.98,48.4,63200.46,79.75,50.61,62.74,0,3.34,63.47,78.67,12.25,0,4.19,93.05,,6.95,206.04,6.82,158.85,158.19,5.1,196.91,5.1,88.94,0.22,49.2,97.98,1,93.81,0,96.75,50.51,90.05,0,56.09,19.48,10.92,10.17,12.98,106.29,1.18,9.42,66.62,33.38,43.91,20.95,282.38,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,
220280,Conceição do Canindé,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,7.89,5.73,853.43,3.77,3.77,,47.77,-6.23,53.6,584719.11,152.02,98.68,112.19,0,3.64,64.91,73.8,21.33,0,2.4,96.76,,3.24,114.44,1.14,928.38,916.07,0.96,1055.5,0.96,53.05,2.18,75.81,98.74,01.01,96.07,0,73.5,32.05,62.21,0,51.51,21.35,10.99,9.3,12.41,107.85,0.33,11.78,58.15,41.85,48.49,21.49,344.87,,,,,,,,,,,,,,,,8.33,0,8.33,0,8.33,0,,,,,,,,,
220285,Coronel José Dias,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água,6.3,4.42,631.56,3.73,3.73,,59.29,-1.01,65.89,,118.51,88.33,111.13,0,3.34,74.54,93.77,0.16,0,2.82,95.03,,4.97,149.5,,,,,,,63.45,0,58.68,96.55,01.01,94.47,99.84,97.12,45.63,93.38,0,48.87,19.85,9.31,8.96,11.9,93.13,1.14,5.49,62.43,37.57,51.13,39.62,322.15,,,,,,,,,,,,,,,,16.67,0,16.67,0,16.67,30,,,,,,,,,
220290,Corrente,PI,2,22110000,Águas e Esgotos do Piauí S/A,AGESPISA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,5.81,04.09,623.43,04.09,4.21,3.51,70.46,-22.56,51.94,732522.24,100.06,53.11,73.71,0,3.33,53.08,73.67,14.83,4.38,3.33,82.09,14.16,3.75,327.64,4.86,1594.88,1516.86,0.47,2213.57,0.57,90.82,0.7,89.04,97.46,01.05,89.13,0,72.54,35.3,65.05,0,54.26,19.69,10.68,9.52,12.59,100.55,0.65,4.54,63.95,36.05,45.74,48,309.5,14.95,24.2,24.2,16.86,100,16.86,05.05,0.21,,,,,,,,18.33,18.18,18.33,0,18.33,09.09,,,,,,,,,
